time,open,high,low,close
2020-01-01T22:00:00.000000000Z,1.12124,1.12124,1.12124,1.12124
2020-01-01T22:01:00.000000000Z,1.12138,1.12138,1.12138,1.12138
2020-01-01T22:02:00.000000000Z,1.12138,1.12146,1.12138,1.12146
2020-01-01T22:03:00.000000000Z,1.12142,1.12142,1.12132,1.12132
2020-01-01T22:05:00.000000000Z,1.12137,1.12137,1.12133,1.12133
2020-01-01T22:06:00.000000000Z,1.12126,1.12126,1.12126,1.12126
2020-01-01T22:07:00.000000000Z,1.12130,1.12130,1.12130,1.12130
2020-01-01T22:08:00.000000000Z,1.12125,1.12125,1.12125,1.12125
2020-01-01T22:11:00.000000000Z,1.12129,1.12129,1.12129,1.12129
2020-01-01T22:14:00.000000000Z,1.12125,1.12125,1.12125,1.12125
2020-01-01T22:15:00.000000000Z,1.12135,1.12149,1.12134,1.12134
2020-01-01T22:16:00.000000000Z,1.12138,1.12138,1.12138,1.12138
2020-01-01T22:17:00.000000000Z,1.12134,1.12155,1.12134,1.12155
2020-01-01T22:19:00.000000000Z,1.12150,1.12150,1.12146,1.12146
2020-01-01T22:21:00.000000000Z,1.12143,1.12154,1.12143,1.12154
2020-01-01T22:30:00.000000000Z,1.12150,1.12152,1.12130,1.12152
2020-01-01T22:43:00.000000000Z,1.12155,1.12155,1.12155,1.12155
2020-01-01T22:44:00.000000000Z,1.12152,1.12152,1.12152,1.12152
2020-01-01T22:45:00.000000000Z,1.12155,1.12155,1.12155,1.12155
2020-01-01T22:46:00.000000000Z,1.12152,1.12152,1.12152,1.12152
2020-01-01T22:47:00.000000000Z,1.12156,1.12156,1.12152,1.12156
2020-01-01T22:48:00.000000000Z,1.12152,1.12156,1.12149,1.12155
2020-01-01T22:49:00.000000000Z,1.12152,1.12160,1.12152,1.12156
2020-01-01T22:50:00.000000000Z,1.12158,1.12162,1.12158,1.12159
2020-01-01T22:51:00.000000000Z,1.12156,1.12159,1.12156,1.12156
2020-01-01T22:52:00.000000000Z,1.12160,1.12160,1.12154,1.12154
2020-01-01T22:53:00.000000000Z,1.12152,1.12155,1.12152,1.12155
2020-01-01T22:56:00.000000000Z,1.12152,1.12152,1.12152,1.12152
2020-01-01T23:00:00.000000000Z,1.12149,1.12170,1.12149,1.12170
2020-01-01T23:01:00.000000000Z,1.12173,1.12206,1.12173,1.12188
2020-01-01T23:02:00.000000000Z,1.12184,1.12212,1.12184,1.12193
2020-01-01T23:03:00.000000000Z,1.12196,1.12224,1.12189,1.12201
2020-01-01T23:04:00.000000000Z,1.12205,1.12210,1.12192,1.12192
2020-01-01T23:05:00.000000000Z,1.12195,1.12200,1.12188,1.12194
2020-01-01T23:06:00.000000000Z,1.12196,1.12196,1.12196,1.12196
2020-01-01T23:07:00.000000000Z,1.12198,1.12201,1.12198,1.12201
2020-01-01T23:08:00.000000000Z,1.12198,1.12208,1.12198,1.12202
2020-01-01T23:09:00.000000000Z,1.12200,1.12200,1.12200,1.12200
2020-01-01T23:11:00.000000000Z,1.12202,1.12206,1.12202,1.12204
2020-01-01T23:12:00.000000000Z,1.12201,1.12201,1.12201,1.12201
2020-01-01T23:13:00.000000000Z,1.12203,1.12203,1.12201,1.12201
2020-01-01T23:14:00.000000000Z,1.12203,1.12203,1.12201,1.12201
2020-01-01T23:17:00.000000000Z,1.12198,1.12198,1.12198,1.12198
2020-01-01T23:21:00.000000000Z,1.12201,1.12206,1.12201,1.12201
2020-01-01T23:22:00.000000000Z,1.12203,1.12203,1.12203,1.12203
2020-01-01T23:23:00.000000000Z,1.12201,1.12206,1.12201,1.12206
2020-01-01T23:24:00.000000000Z,1.12203,1.12206,1.12203,1.12206
2020-01-01T23:25:00.000000000Z,1.12208,1.12208,1.12206,1.12206
2020-01-01T23:27:00.000000000Z,1.12208,1.12208,1.12208,1.12208
2020-01-01T23:29:00.000000000Z,1.12210,1.12210,1.12210,1.12210
2020-01-01T23:30:00.000000000Z,1.12212,1.12212,1.12212,1.12212
2020-01-01T23:31:00.000000000Z,1.12214,1.12217,1.12214,1.12217
2020-01-01T23:32:00.000000000Z,1.12215,1.12218,1.12215,1.12216
2020-01-01T23:40:00.000000000Z,1.12214,1.12214,1.12214,1.12214
2020-01-01T23:42:00.000000000Z,1.12216,1.12216,1.12210,1.12210
2020-01-01T23:45:00.000000000Z,1.12207,1.12207,1.12202,1.12202
2020-01-01T23:46:00.000000000Z,1.12199,1.12199,1.12194,1.12194
2020-01-01T23:47:00.000000000Z,1.12192,1.12192,1.12179,1.12181
2020-01-01T23:48:00.000000000Z,1.12178,1.12182,1.12178,1.12179
2020-01-01T23:49:00.000000000Z,1.12182,1.12182,1.12179,1.12182
2020-01-01T23:50:00.000000000Z,1.12184,1.12189,1.12184,1.12189
2020-01-01T23:52:00.000000000Z,1.12187,1.12189,1.12187,1.12189
2020-01-01T23:53:00.000000000Z,1.12187,1.12187,1.12187,1.12187
2020-01-01T23:54:00.000000000Z,1.12184,1.12184,1.12184,1.12184
2020-01-01T23:56:00.000000000Z,1.12186,1.12194,1.12186,1.12192
2020-01-01T23:57:00.000000000Z,1.12190,1.12190,1.12187,1.12189
2020-01-02T00:00:00.000000000Z,1.12187,1.12189,1.12180,1.12184
2020-01-02T00:01:00.000000000Z,1.12182,1.12184,1.12182,1.12184
2020-01-02T00:03:00.000000000Z,1.12186,1.12190,1.12186,1.12190
2020-01-02T00:04:00.000000000Z,1.12192,1.12192,1.12192,1.12192
2020-01-02T00:05:00.000000000Z,1.12189,1.12189,1.12182,1.12182
2020-01-02T00:06:00.000000000Z,1.12184,1.12184,1.12184,1.12184
2020-01-02T00:10:00.000000000Z,1.12182,1.12182,1.12179,1.12179
2020-01-02T00:11:00.000000000Z,1.12177,1.12177,1.12174,1.12174
2020-01-02T00:12:00.000000000Z,1.12172,1.12172,1.12170,1.12172
2020-01-02T00:13:00.000000000Z,1.12170,1.12170,1.12168,1.12168
2020-01-02T00:14:00.000000000Z,1.12164,1.12164,1.12162,1.12162
2020-01-02T00:15:00.000000000Z,1.12160,1.12162,1.12160,1.12162
2020-01-02T00:16:00.000000000Z,1.12164,1.12170,1.12164,1.12170
2020-01-02T00:17:00.000000000Z,1.12167,1.12167,1.12164,1.12164
2020-01-02T00:20:00.000000000Z,1.12166,1.12166,1.12164,1.12164
2020-01-02T00:22:00.000000000Z,1.12162,1.12167,1.12158,1.12160
2020-01-02T00:23:00.000000000Z,1.12158,1.12162,1.12158,1.12162
2020-01-02T00:26:00.000000000Z,1.12164,1.12164,1.12164,1.12164
2020-01-02T00:27:00.000000000Z,1.12162,1.12162,1.12162,1.12162
2020-01-02T00:28:00.000000000Z,1.12164,1.12164,1.12162,1.12164
2020-01-02T00:29:00.000000000Z,1.12162,1.12162,1.12162,1.12162
2020-01-02T00:30:00.000000000Z,1.12164,1.12164,1.12164,1.12164
2020-01-02T00:32:00.000000000Z,1.12161,1.12163,1.12161,1.12163
2020-01-02T00:33:00.000000000Z,1.12161,1.12163,1.12161,1.12163
2020-01-02T00:34:00.000000000Z,1.12166,1.12166,1.12166,1.12166
2020-01-02T00:35:00.000000000Z,1.12164,1.12164,1.12164,1.12164
